position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
300050,省直,省水利厅宿州水文水资源局机关,网络维护,本科,电子信息工程专业、电子科学与技术专业、通信工程专业、计算机科学与技术专业、网络工程专业、电子与计算机工程专业,1,99
300051,省直,省水利厅蚌埠水文水资源局机关,水文与水资源管理,本科,水文与水资源工程专业,2,23
300052,省直,省水利厅阜阳水文水资源局机关,财务管理,本科,财务管理专业、会计学专业、审计学专业,1,69
300053,省直,省水利厅阜阳水文水资源局机关,水环境监测,本科,化学专业、应用化学专业、水质科学与技术专业,1,73
300054,省直,省水利厅滁州水文水资源局机关,水文测验,本科,水文与水资源工程专业,1,10
300055,省直,省水利厅六安水文水资源局机关,站网管理,本科,水利水电工程专业、水文与水资源工程专业、水利科学与工程专业,1,22
300056,省直,省水利厅马鞍山水文水资源局机关,机关综合,本科,不限,1,159
300057,省直,省水利厅安庆水文水资源局机关,水文与水资源管理,本科,水文与水资源工程专业,2,14
300058,省直,省商务厅,商务经济统计,本科,统计学类、经济统计学专业,1,60
300059,省直,省商务厅,商务政策规划,研究生,国民经济学（二级学科）、区域经济学（二级学科）、产业经济学（二级学科）、国际贸易学（二级学科）、国际商务硕士（专业硕士）,2,57
300060,省直,省商务厅,商务金融管理,本科,金融学类、经济与贸易类、商务经济学专业、国际经贸规则专业、国际商务专业,2,246
300061,省直,省商务厅,财务管理,本科,会计学专业、财务管理专业、审计学专业,3,260
300062,省直,省文化和旅游厅,文物管理,本科,历史学类,1,58
300063,省直,省卫生健康委,财务审计,研究生,会计学（二级学科）、会计硕士（专业硕士）、审计硕士（专业硕士）,1,64
300064,省直,省退役军人事务厅,机关综合,本科,不限,1,253
300065,省直,省国资委,机关综合,研究生,应用经济学（一级学科）、法学（一级学科）、工商管理学（一级学科）、金融硕士（专业硕士）、会计硕士（专业硕士）,3,221
300066,省直,省市场监管局,执法监管,本科,法学类,3,78
300067,省直,省市场监管局,监管服务,本科,经济学类,2,87
300068,省直,省市场监管局,安全监管,本科,机械工程专业、机械设计制造及其自动化专业、电气工程及其自动化专业,2,213
300069,省直,省市场监管局省知识产权事业发展中心,知识产权管理,研究生,法学（一级学科）、知识产权硕士（专业硕士）、法律硕士（专业硕士）,1,20
300070,省直,省市场监管局省纤维检验局,党建管理,本科,哲学类、马克思主义理论类、中国语言文学类,1,40
300071,省直,省广播电视局,政策法规,本科,法学类（不含特设专业）,1,40
300072,省直,省广播电视局,财务管理,本科,会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,105
300073,省直,省体育局,机关综合,本科,体育学类,1,100
300074,省直,省体育局,产业规划,研究生,应用经济学（一级学科）,1,28
300075,省直,省统计局,综合统计,研究生,经济学门类、统计学（一级学科）,2,71
300076,省直,省林业局省造林经营总站,林业管理,研究生,林木遗传育种（二级学科）、森林培育（二级学科）、森林经理学（二级学科）,1,16
300077,省直,省林业局省林业有害生物防治检疫局,林业有害生物防治,研究生,森林保护学（二级学科）、植物病理学（二级学科）,1,26
300078,省直,省政府信访局,信访办理,本科,法学类,2,32
300079,省直,民盟安徽省委,机关综合,本科,哲学专业、逻辑学专业、政治学与行政学专业、汉语言文学专业、历史学专业、法学专业、新闻学专业、经济学专业,1,48
300080,省直,民革安徽省委,机关综合,本科,经济学门类、中国语言文学类、法学类、政治学类,1,69
300081,省直,省人民检察院,司法行政人员,研究生,计算机科学与技术（一级学科）,1,36
300082,省直,省白湖监狱管理分局,人民警察,本科,中国语言文学类、新闻传播学类,3,17
300083,省直,省白湖监狱管理分局,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,4,44
300084,省直,省白湖监狱管理分局,人民警察,本科,安全科学与工程类,2,15
300085,省直,省白湖监狱管理分局,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,2,55
300086,省直,省白湖监狱管理分局,人民警察,本科,环境科学与工程类、食品科学与工程类,2,57
300087,省直,省白湖监狱管理分局,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,2,47
300088,省直,省白湖监狱管理分局,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,2,37
300089,省直,省白湖监狱管理分局,人民警察,本科,美术学类、播音与主持艺术专业、舞蹈编导专业、舞蹈表演专业、表演专业、音乐表演专业、音乐学专业、戏剧影视导演专业、戏剧影视文学专业、广播电视编导专业、影视摄影与制作专业,2,94
300090,省直,省白湖监狱管理分局,人民警察,本科,植物生产类（不含特设专业）,3,22
300091,省直,省白湖监狱管理分局,人民警察,本科,农业工程类、自然保护与环境生态类,2,14
300092,省直,省白湖监狱管理分局,人民警察,本科,教育学类,2,37
300093,省直,省白湖监狱管理分局,人民警察,本科,林学类、林业工程类（不含特设专业）,3,38
300094,省直,省白湖监狱管理分局,人民警察,本科,水利类、测绘类,2,44
300095,省直,省白湖监狱管理分局,人民警察,本科,生物工程类、生物科学类,2,57
300096,省直,省白湖监狱管理分局,人民警察,本科,水产类、动物医学类,2,26
300097,省直,省白湖监狱管理分局,人民警察,本科,管理学门类,2,76
300098,省直,省白湖监狱管理分局,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,3,67
300099,省直,省白湖监狱管理分局,人民警察,本科,电气类（不含特设专业）,2,42
300100,省直,省白湖监狱管理分局,人民警察,本科,统计学类、数学类、化学类,3,102
300101,省直,省白湖监狱管理分局,人民警察,本科,材料类（不含特设专业）,2,55
300102,省直,省白湖监狱管理分局,人民警察,本科,体育学类,2,87
300103,省直,省白湖监狱管理分局,心理矫正,本科,心理学类,3,50
300104,省直,省白湖监狱管理分局,人民警察,本科,经济学门类,3,59
300105,省直,省白湖监狱管理分局,警察医学,本科,药学类、精神医学专业、预防医学专业、麻醉学专业,3,92
300106,省直,省白湖监狱管理分局,警察医学,本科,医学影像学专业、放射医学专业,2,12
300107,省直,省白湖监狱管理分局,警察医学,本科,医学检验技术专业、卫生检验与检疫专业、医学实验技术专业,2,48
300108,省直,省白湖监狱管理分局,警察医学,本科,护理学类(不含特设专业),2,62
300109,省直,省白湖监狱管理分局,警察医学,本科,护理学类(不含特设专业),2,93
300110,省直,省白湖监狱管理分局,人民警察,本科,不限,4,212
300111,省直,省白湖监狱管理分局,人民警察,本科,不限,4,208
300112,省直,省白湖监狱管理分局,人民警察,本科,不限,8,19
300113,省直,省白湖监狱管理分局,人民警察,本科,不限,6,27
300114,省直,省九成监狱管理分局,人民警察,本科,中国语言文学类、新闻传播学类,1,5
300115,省直,省九成监狱管理分局,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,56
300116,省直,省九成监狱管理分局,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,2,25
300117,省直,省九成监狱管理分局,人民警察,本科,美术学类、播音与主持艺术专业、舞蹈编导专业、舞蹈表演专业、表演专业、音乐表演专业、音乐学专业、戏剧影视导演专业、戏剧影视文学专业、广播电视编导专业、影视摄影与制作专业,2,89
300118,省直,省九成监狱管理分局,人民警察,本科,植物生产类（不含特设专业）、林业工程类,3,8
300119,省直,省九成监狱管理分局,人民警察,本科,管理学门类,2,39
300120,省直,省九成监狱管理分局,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,2,24
300121,省直,省九成监狱管理分局,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,11
300122,省直,省九成监狱管理分局,警察医学,本科,临床医学类（不含特设专业）、精神医学专业、中西医临床医学专业,2,18
300123,省直,省九成监狱管理分局,警察医学,本科,护理学类(不含特设专业),2,35
300124,省直,省九成监狱管理分局,人民警察,本科,不限,1,18
300125,省直,省九成监狱管理分局,人民警察,本科,不限,6,35
300126,省直,省九成监狱管理分局,人民警察,本科,不限,1,3
300127,省直,省巢湖监狱,人民警察,研究生,材料科学与工程（一级学科）,1,14
300128,省直,省巢湖监狱,人民警察,研究生,机械工程（一级学科）,1,25
300129,省直,省巢湖监狱,人民警察,研究生,法学（一级学科）、教育学（一级学科）、心理学（一级学科）、社会学（二级学科）、法律硕士（专业硕士）,1,38
300130,省直,省巢湖监狱,人民警察,本科,新闻传播学类、英语专业,2,30
300131,省直,省巢湖监狱,人民警察,本科,中国语言文学类,2,27
300132,省直,省巢湖监狱,人民警察,本科,机械类、材料类（不含特设专业）,3,79
300133,省直,省巢湖监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,1,8
300134,省直,省巢湖监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,2,37
300135,省直,省巢湖监狱,心理矫正,本科,心理学类,1,14
300136,省直,省巢湖监狱,人民警察,本科,工商管理类（不含特设专业）、公共事业管理专业,1,38
300137,省直,省巢湖监狱,人民警察,本科,经济学门类,1,18
300138,省直,省巢湖监狱,人民警察,本科,不限,1,57
300139,省直,省合肥监狱,人民警察,研究生,法学（一级学科）、教育学（一级学科）、心理学（一级学科）、社会学（二级学科）、法律硕士（专业硕士）,2,22
300140,省直,省合肥监狱,人民警察,研究生,公共管理（一级学科）、公共管理硕士（专业硕士）、图书情报硕士（专业硕士）,2,17
300141,省直,省合肥监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,38
300142,省直,省合肥监狱,人民警察,本科,中国语言文学类、英语专业,2,161
300143,省直,省合肥监狱,心理矫正,本科,心理学类,1,23
300144,省直,省合肥监狱,人民警察,本科,影视摄影与制作专业、广播电视编导专业、影视技术专业、戏剧影视导演专业、戏剧影视文学专业,1,43
300145,省直,省合肥监狱,人民警察,本科,安全科学与工程类、食品科学与工程类,1,22
300146,省直,省合肥监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,52
300147,省直,省合肥监狱,人民警察,本科,经济学门类,1,23
300148,省直,省阜阳监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,2,21
300149,省直,省阜阳监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,58
300150,省直,省阜阳监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,1,23
300151,省直,省阜阳监狱,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,1,19
300152,省直,省阜阳监狱,人民警察,本科,美术学类、播音与主持艺术专业、舞蹈编导专业、舞蹈表演专业、表演专业、音乐表演专业、音乐学专业,1,65
300153,省直,省阜阳监狱,人民警察,本科,工商管理类（不含特设专业）、公共事业管理专业,1,42
300154,省直,省阜阳监狱,人民警察,本科,体育学类,1,28
300155,省直,省阜阳监狱,人民警察,本科,不限,1,37
300156,省直,省阜阳监狱,人民警察,本科,不限,4,26
300157,省直,省安庆监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,21
300158,省直,省安庆监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,2,13
300159,省直,省安庆监狱,心理矫正,本科,心理学类,2,27
300160,省直,省安庆监狱,人民警察,本科,工商管理类（不含特设专业）、公共事业管理专业,2,47
300161,省直,省安庆监狱,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,2,23
300162,省直,省安庆监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,1,13
300163,省直,省安庆监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,14
300164,省直,省安庆监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,16
300165,省直,省安庆监狱,人民警察,本科,不限,3,4
300166,省直,省安庆监狱,人民警察,本科,不限,2,69
300167,省直,省宿州监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,63
300168,省直,省宿州监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,22
300169,省直,省宿州监狱,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,2,24
300170,省直,省宿州监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,18
300171,省直,省宿州监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,1,19
300172,省直,省宿州监狱,人民警察,本科,不限,2,9
300173,省直,省宿州监狱,人民警察,本科,不限,1,34
300174,省直,省蚌埠监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,1,8
300175,省直,省蚌埠监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,22
300176,省直,省蚌埠监狱,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业,1,16
300177,省直,省蚌埠监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,19
300178,省直,省蚌埠监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,18
300179,省直,省蚌埠监狱,人民警察,本科,美术学类、舞蹈编导专业、舞蹈表演专业、音乐表演专业、音乐学专业,1,29
300180,省直,省蚌埠监狱,人民警察,本科,环境科学与工程类、食品科学与工程类,1,14
300181,省直,省庐江监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,1,8
300182,省直,省庐江监狱,人民警察,本科,环境科学与工程类、食品科学与工程类,2,32
300183,省直,省庐江监狱,人民警察,本科,机械类,2,42
300184,省直,省庐江监狱,人民警察,本科,工商管理类（不含特设专业）、公共事业管理专业,2,60
300185,省直,省庐江监狱,人民警察,本科,舞蹈编导专业、舞蹈表演专业、音乐表演专业、音乐学专业,1,50
300186,省直,省庐江监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,13
300187,省直,省庐江监狱,人民警察,本科,纺织类、服装与服饰设计专业、视觉传达设计专业,1,35
300188,省直,省庐江监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,15
300189,省直,省蜀山监狱,人民警察,研究生,法学（一级学科）、中国语言文学（一级学科）、新闻传播学（一级学科）,1,6
300190,省直,省蜀山监狱,人民警察,本科,机械类,1,32
300191,省直,省蜀山监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,41
300192,省直,省蜀山监狱,人民警察,本科,美术学类、播音与主持艺术专业、舞蹈编导专业、舞蹈表演专业、表演专业,1,98
300193,省直,省马鞍山监狱,人民警察,研究生,法学（一级学科）、教育学（一级学科）、心理学（一级学科）、社会学（二级学科）、法律硕士（专业硕士）,1,6
300194,省直,省马鞍山监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,1,19
300195,省直,省马鞍山监狱,人民警察,本科,环境科学与工程类、食品科学与工程类,1,13
300196,省直,省马鞍山监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,15
300197,省直,省铜陵监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,1,7
300198,省直,省铜陵监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,1,13
300199,省直,省铜陵监狱,人民警察,本科,播音与主持艺术专业、舞蹈编导专业、舞蹈表演专业、表演专业、音乐表演专业、音乐学专业,1,52
300200,省直,省女子监狱,人民警察,研究生,中国语言文学（一级学科）、新闻传播学（一级学科）,1,8
300201,省直,省女子监狱,人民警察,本科,纺织类、服装与服饰设计专业、电气工程及其自动化专业,1,64
300202,省直,省女子监狱,警察医学,本科,临床医学类(不含特设专业）、精神医学专业、中西医临床医学专业,1,59
300203,省直,省女子监狱,金融财会,本科,会计学专业、财务管理专业、审计学专业,1,28
300204,省直,省潜川监狱,人民警察,本科,中国语言文学类、新闻传播学类,1,8
300205,省直,省潜川监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,2,19
300206,省直,省潜川监狱,人民警察,本科,土木类（不含特设专业）、建筑类、工程造价专业,2,29
300207,省直,省潜川监狱,人民警察,本科,电气类（不含特设专业）,2,34
300208,省直,省潜川监狱,人民警察,本科,植物生产类（不含特设专业）、林业工程类,1,5
300209,省直,省潜川监狱,金融财会,本科,金融学类、会计学专业、财务管理专业、审计学专业,1,16
300210,省直,省青山监狱,人民警察,本科,中国语言文学类、新闻传播学类、英语专业,1,10
300211,省直,省青山监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,19
300212,省直,省青山监狱,人民警察,本科,播音与主持艺术专业、音乐表演专业、戏剧影视导演专业、戏剧影视文学专业、广播电视编导专业,1,53
300213,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,研究生,中国语言文学（一级学科）、新闻传播学（一级学科）,1,9
300214,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,本科,管理学门类,2,71
300215,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,本科,美术学类、舞蹈编导专业、舞蹈表演专业、音乐表演专业、音乐学专业,1,78
300216,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,本科,纺织类、服装与服饰设计专业、艺术设计学专业、产品设计专业、电气工程及其自动化专业,1,75
300217,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,本科,统计学类、数学类,1,42
300218,省直,省未成年犯管教所（省庐州女子监狱）,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,46
300219,省直,省未成年犯管教所（省庐州女子监狱）,心理矫正,本科,心理学类,1,82
300220,省直,省未成年犯管教所（省庐州女子监狱）,人民警察,本科,不限,1,78
300221,省直,省淝河监狱,人民警察,本科,监狱学专业、法学专业、侦查学专业、社会学专业、社会工作专业,1,11
300222,省直,省淝河监狱,网络安全管理,本科,计算机类、电子信息类（不含特设专业）,1,16
300223,省直,省淝河监狱,警察医学,本科,护理学类(不含特设专业),1,66
300224,省直,省淝河监狱,警察医学,本科,医学检验技术专业、卫生检验与检疫专业、医学实验技术专业,1,27
300225,省直,省淝河监狱,警察医学,本科,临床医学类(不含特设专业）、精神医学专业、中西医临床医学专业,2,35
300226,省直,省直监狱单位,警察医学,本科,临床医学类(不含特设专业）、精神医学专业、中西医临床医学专业,2,13
300227,省直,省直监狱单位,警察医学,本科,临床医学类(不含特设专业）、精神医学专业、中西医临床医学专业,3,14
300228,省直,省直监狱单位,警察医学,本科,临床医学类(不含特设专业）、精神医学专业、中西医临床医学专业,7,36
300229,省直,省直监狱单位,人民警察,本科,不限,6,16
300230,省直,省直监狱单位,人民警察,本科,不限,5,10
300231,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,3,14
300232,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,1,4
300233,省直,省南湖强制隔离戒毒所,人民警察,本科,不限,1,43
300234,省直,省南湖强制隔离戒毒所,人民警察,研究生,法学（一级学科）、法律硕士（专业硕士）,1,3
300235,省直,省南湖强制隔离戒毒所,人民警察,研究生,中国语言文学（一级学科）、新闻传播学（一级学科）,2,2
300236,省直,省南湖强制隔离戒毒所,人民警察,本科,植物生产类,2,9
300237,省直,省南湖强制隔离戒毒所,人民警察,研究生,应用经济学（一级学科）、工商管理（一级学科）、农林经济管理（一级学科）,2,15
300238,省直,省南湖强制隔离戒毒所,警察医学,本科,临床医学类（不含特设专业）,2,22
300239,省直,省南湖强制隔离戒毒所,警察医学,本科,护理学类(不含特设专业),1,27
300240,省直,省南湖强制隔离戒毒所,金融财会,本科,会计学专业、审计学专业、财务管理专业,2,20
300241,省直,省南湖强制隔离戒毒所,网络安全管理,本科,计算机类（不含特设专业）,1,15
300242,省直,省南湖强制隔离戒毒所,人民警察,本科,水产类,2,10
300243,省直,省南湖强制隔离戒毒所,人民警察,本科,体育学类、音乐表演专业、舞蹈编导专业、舞蹈表演专业、表演专业,2,68
300244,省直,省女子强制隔离戒毒所,网络安全管理,研究生,计算机科学与技术（一级学科）,1,9
300245,省直,省女子强制隔离戒毒所,人民警察,本科,不限,1,76
300246,省直,省蚌埠强制隔离戒毒所,网络安全管理,本科,计算机类（不含特设专业）,1,15
300247,省直,省滨湖强制隔离戒毒所,人民警察,本科,食品质量与安全专业、食品安全与检测专业、化学生物学专业、化学工程与工业生物工程专业,1,18
300248,省直,省滨湖强制隔离戒毒所,警察医学,本科,医学检验技术专业、卫生检验与检疫专业、医学实验技术专业,1,24
300249,省直,省未成年人强制隔离戒毒所,人民警察,本科,视觉传达设计专业、艺术设计学专业、包装设计专业、工艺美术专业,1,47
300250,省直,省未成年人强制隔离戒毒所,金融财会,本科,会计学专业、审计学专业、财务管理专业,1,16
160001,安庆,中共安庆市委党校,综合文字,本科,中国语言文学类,1,45
160002,安庆,中共安庆市委党校,教务信息管理,本科,计算机类,1,87
160003,安庆,安庆市档案馆,档案管理,本科,不限,2,443
160004,安庆,中共安庆市委党史和地方志研究室,史志编研,本科,历史学类,1,35
160005,安庆,中共安庆市委党史和地方志研究室,史志编研,本科,政治学类、历史学专业、汉语言文学专业,1,32
160006,安庆,中共安庆市委讲师团,理论教学研究,本科,马克思主义理论类、中国语言文学类、新闻传播学类,1,42
160007,安庆,中共安庆市委老干部局市老年教育委员会（老年大学）工作处,教学行政管理,本科,中国语言文学类、新闻传播学类、教育学类、经济学类,1,62
160008,安庆,中共安庆市委老干部局宜园老干部活动室,综合文字,本科,中国语言文学类、公共管理类,2,90
160009,安庆,安庆市红十字会,综合文字,本科,不限,1,161
160010,安庆,安庆市教育体育局市人民政府教育督导团工作处,财务管理,本科,财政学类、会计学专业、经济学专业、审计学专业、财务管理专业,1,32
160011,安庆,安庆市教育体育局市人民政府教育督导团工作处,教育督导,本科,本科：教育学类、马克思主义理论类、中国语言文学类、历史学类、法学类、计算机类；硕士研究生：不限专业,1,121
160012,安庆,安庆市财政局市财政国库支付中心,财务管理,本科,财政学类、会计学专业、财务管理专业、审计学专业,1,33
